,Figured,Name,Locality,CatNo,Situation,SiteNo,Site,PhotoNo,Remarks,OrigNo,AccNo,f_name
4021,,worked quartette,across narrows from emccleods trading pus mm is cases m,12659,Our a c e,,,Photo.No.,Site found in 19146.,,134,134_12659.pdf.png
6929,.,I it,ellsworth sang maine ,9655,"5"" below of l'of)"" west of D Sum 1'13"" south of'7 lint in.jr'is roots in moist'rhode area",M 50/9,Wasn 131mm,Photo.No.,5 f'C 7 -'in'.('- 1. Cab'70 5/ i,96-3,120,120_9655.pdf.png
7610,,Worked fragment. v.ve',ipswich mass ,9036,"great'Q. 131 74"" from 131. 40"" from 13.1. 11'deem in brown clay below shell. 36"" below date I.",M13/77,Great Beach Hill,,,,116,116_9036.pdf.png
4765,,sand-blasted fragment of scraped,wellfleet massachusetts ,14012,,,"Wellfleet, MA",,Round in 1912.,132,141,141_14012.pdf.png
294,,1 stemmed arrowpoint.,eastern of squibnocket pond martha spine yard mass ,144,Dec. 12 below shell in yellow and brown human.,M50/1,Hornblower Shell Heap,,,,2,2_0144.pdf.png
2250,,,northshore of up over chestnut hill ,1049,"In yellow sand 2"" below Age of loam.",M50/1,,,,,4,4_1049.pdf.png
4453,6/30/51.,Knife,deny shiver go an ll downstream from cat chance confluence enns ve ,13323,Am m1burface or stream bank downstream.,Me. 152/7,Dennis Farm,Photo.No.,RanmkSGift of Or. I.W. Kingsbury Merry He.,0rig.No. 551,137,137_13323.pdf.png
5303,,broken smear head,south well flee massachusetts ,14690,South side of Indian River on farm of Had Norton at point where river enters the meadow.,,Indian River,,Round in 1918. Same of river obtained From Mrs. Bed Norton,955,141,141_14690.pdf.png
556,,Small semi ulnar piece of cut bone.,me ostend of squibnocket pond martha vineyards mass ,411,Dec. Of in shell.,M50/1,Hornblower Shell Heap,PhotO-NO-,Round in scrap.,,2,2_0411.pdf.png
5655,,fragments of unfinished whipped implements(3),true massachusetts ,15302,Ku on,,North End of North Branch of Creek at Co,,Round in 1929.,,141,141_15302.pdf.png
5445,,If e,south el fleet massachusetts ,14864,,,Lieutenant's Island,,Round 1). John B. Honkinson in 1919.,1084,141,141_14864.pdf.png
4817,,sand-blasted fragment of whipped mole- men,wellfleet massachusetts ,14088,Top of bank near south shore.,,Griffin Island,,Round in 1913.,,141,141_14088.pdf.png
527,,Piece of T. D. pipe.,eastern of squibnocket pon ch martha vineyards mass ,382,Dec. 143 above plow line.,M50/1,Hornblower Shell Heap,Photo.No.,,0riz-No. SA/se,2,2_0382.pdf.png
2163,,Thumbaoraper.,blush ill maine ,4923,Of. Broken shell and hume east wall.,Me. 152/7,Richard's Shellheap,PhotO-NO-,,Oriz.No.31925,32,32_4923.pdf.png
4490,,Case of knife,peninsula on big damper re he ,13369,L'KCaV ate d.,Me. 152/7,Thompson's Point,Photo.No.,220. Located by Or. I.W. Kingsbury0 Merry He.,0rig.No. 9,137,137_13369.pdf.png
6532,,Fragments of trianguloid quartette,vicinity of pain labrador ,11999,,,Vicinity of Nain,Photo.No.,,0rig.No.,132,132_11999.pdf.png
363,,2 quart knives.,eastern of squibnocket pond martha vineyards m,215,Dec. 2061 brownish sand.,M50/1,Hornblower Shell Heap,PbotO-NO-,,8/7301,2,2_0215.pdf.png
2750,,,,8513,-. - 7 l 1) A I ve ve,,,,,-,114,114_8513.pdf.png
7684,,Utilized Ship(9),den nov ill maine ,11659,"16"" below surface",M12/43,Seneca River,Photo.No.,,Orig.No.-58,130,130_11659.pdf.png
8920,,Arrowpoint.,schoharie county new york ,4119,Definite location not given.,,"Village Site, Pumpkinvine Creek, Ga.",Photo.No.,Exchange with Rochester Municipal Museum. Rochester'New Work.,AR 23833,29,29_4119.pdf.png
6352,,81 potsherds.,california desert ,4114,,,,,Exchange with Southwest Museum'Os Angeles'Pal.,,28,28_4114.pdf.png
7429,,Ballad oopyor m,enwich inn ,8654,"Area I Q. Of from Of. 45"" from 75. 7"" deem near edge of shell. below sum I.",He.152/1,Great Beach Hill,,3,250,116,116_8654.pdf.png
7367,.,Worked trauma quart,ipswich you ,9004,"Area I. of 64"" from 12K 78'from 12L. 7"" deem in brown clay below shell. 264i"" below date 1.",M13/77,Great. Neck - I,,,,116,116_9004.pdf.png
5658,,fragment of whipped implement,cape cod massachusetts ,15305,,,Lower Part of Cape Cod,Photo.No.,Round by Toward Sorry or John E. Hopkinson in 1929.,1569,141,141_15305.pdf.png
122,',Fragment of arrow point,mass ,7402,Excavated from ancient surface.,M39/7,Grassy Island,,Collected by E.B. Delabarre.,1800,103,103_7402.pdf.png
1859,,Broken plumes.,he rye due hill falls me ,739,French 10.3'Section Of. In black human below last shell layer.,Me. 152/1,Nevin Shellheap,,,,3,3_0739.pdf.png
581,,Joint of angler awl.,eastern of squibnocket pond martha vineyards mass ,437,Situation unknown.,M50/1,Hornblower Shell Heap,Photo-NO-,,SA/s,2,2_0437.pdf.png
7199,,,,8721,,,,,,,116,116_8721.pdf.png
4794,,knife,s th wellfleet massachusetts ,14050,,,Indian River,,Round in 1922.,1305,141,141_14050.pdf.png
8542,,Arrow point.,andover mass ,7107,Round July 6 1928-,M12/43,,,Lift of Arthur M. Hofmanm Ballardvalm MaSS-,96,83,83_7107.pdf.png
8257,,Small string of lead ornaments.,near na inn labrador ,1530,,,Nukasujuktok Island,PhotO-NO-,My Exchange with Field Museum Chicago. Collected by Duncan Strong.,1 77285,17,17_1530.pdf.png
4038,,Retoucned lake,left bank charme given opposite trace not ,12676,Surface,,,,,,134,134_12676.pdf.png
1522,,3 pieces of bone awl.,falls me ,2911,French of'Section Of. In shell flocked human in 8. bank.,Me. 152/1,Nevin Shellheap,Photo-No.,,Orig.No-1634,25,25_2911.pdf.png
8609,,Felt(4.7),did wards come bake to up so maine ,11969,Our'f a ce,Me. 152/7,Creed's Cove,Photo.No.,Located by W. Word,,131,131_11969.pdf.png
7397,,I-hmeretono. gram to,pew ch made ,9103,"Area I Q. 14H from him. 52"" from him 8"" deep. in shell. 39"" below I.",M13/77,Great Beach Hill,,,412,116,116_9103.pdf.png
4254,,Tz. fragment used,inches sat uwestshore of east bay perry me ,13067,10 top shell layer.,Me. 152/7,Mincher's Point,Photo.No.,,Orig.No.LL6,137,137_13067.pdf.png
5216,,f lake,well flee massachusetts ,14592,Masterly mary of large point of land.,,Between Money Hill Brook and Herring Riv,Photo.No.,Round in 1916.,Shh,141,141_14592.pdf.png
7398,',Chord'decanter pottery shell,ipswich mass ,8717,"Area I Q. 10A 501 26'from 10A from 108 7 
5	1	7	1	1	8	1016	734	86	35	84	see
5	1	7	1	1	9	1198	737	56	36	71	in
5	1	7	1	1	10	1287	738	145	37	80	shell
4	1	7	1	2	0	53	728	1402	88	-1	
5	1	7	1	2	1	53	765	86	48	68	74 below claim 1.'i p''",M13/77,Great. Neck - I,,Part of V1sssl 116/8708,276,116,116_8717.pdf.png
3320,,Lip of drill,ellsworth falls maine ,9832,"of - Occupation level(between granular and compact clay) 71"" North x 26"" West 265"" deep",M39/7,Wasp Island,,Icel 2.,CO .2,125,125_9832.jpg.png
988,,Piece of needle.,blue hill ff ll lie ,2352,French TEL Action 313. In be't-les under center Of GTZWe 6'just above ledge.,Me. 152/1,Nevin Shellheap,PhotO-NO-,,Orig.No.r3315,25,25_2352.pdf.png
5976,,Arrowpoint.,bedford newjersey ,1660,,,,,Exchange with University Museum Philadelphia.,NA5273,20,20_1660.pdf.png
4876,,fragment of worked quart,well flew to massachusetts ,14166,Edge of large sand bank on east. side of Wellfleet bag be- When Indian Neck and Down have.,,Between Indian Neck and Town Cove,,191m found.,,141,141_14166.pdf.png
2964,,Whipped trianguloid point,ellsworth falls maine ,10064,"Of - Topsoil. 18"" North 5"" West of G60 depth 3-5"" below Of",M39/7,Wasp Island,,Convex base(The f/'(Qemffto M757.,G6 . 9,125,125_10064.jpg.png
1501,,Broken plumes.,blue hill fall me ,2890,French 18.33 Section Of. Take section black human and pebbles.,Me. 152/1,Nevin Shellheap,Photo.No-,,3135,25,25_2890.pdf.png
7031,h,"5	1	1	1	1	6	832	72	7	6	87	'
5	1	1	1	1	7	854	80	51	24	67	105
2	1	2	0	0	0	62	207	1285	365	-1	
3	1	2	1	0	0	62	207	1285	365	-1	
4	1	2	1	1	0	63	207	963	62	-1	
5	1	2	1	1	1	63	208	78	31	85	Act.
5	1	2	1	1	2	157	208	67	31	86	To.
5	1	2	1	1	3	280	215	16	33	59	1
5	1	2	1	1	4	313	216	20	41	57	5
5	1	2	1	1	5	345	217	18	18	78	E
5	1	2	1	1	6	508	207	71	32	85	Site
5	1	2	1	1	7	761	220	46	31	55	no'
5	1	2	1	1	8	821	223	52	32	62	19.
5	1	2	1	1	9	911	223	13	25	57	7
5	1	2	1	1	10	942	219	52	38	52	138
5	1	2	1	1	11	1005	226	21	43	71	5
4	1	2	1	2	0	62	358	597	44	-1	
5	1	2	1	2	1	62	358	90	38	83	Brig.
5	1	2	1	2	2	168	358	67	31	92	To.
5	1	2	1	2	3	277	370	51	23	66	on
5	1	2	1	2	4	343	392	11	10	62	.
5	1	2	1	2	5	507	358	71	32	83	Site
5	1	2	1	2	6	592	359	67	31	54	To.
4	1	2	1	3	0	62	506	1285	66	-1	
5	1	2	1	3	1	62	506	122	32	74	Photo.
5	1	2	1	3	2	200	507	66	31	91	To.
5	1	2	1	3	3	505	506	154	38	79	Locality
5	1	2	1	3	4	753	523	53	32	60	r-1
5	1	2	1	3	5	817	533	19	23	70	9.
5	1	2	1	3	6	850	523	79	33	39	(sea
5	1	2	1	3	7	966	526	23	32	43	I
5	1	2	1	3	8	1002	526	10	31	67	5
5	1	2	1	3	9	1027	537	24	31	52	3-
5	1	2	1	3	10	1084	536	50	22	59	or-
5	1	2	1	3	11	1149	538	44	34	34	35
5	1	2	1	3	12	1233	538	54	23	84	we
5	1	2	1	3	13	1298	539	19	23	79	3
5	1	2	1	3	14	1328	532	19	30	77	t
2	1	3	0	0	0	757	572	35	18	-1	
3	1	3	1	0	0	757	572	35	18	-1	
4	1	3	1	1	0	757	572	35	18	-1	
5	1	3	1	1	1	757	572	35	18	31	TJQ
2	1	4	0	0	0	798	574	423	46	-1	
3	1	4	1	0	0	798	574	423	46	-1	
4	1	4	1	1	0	798	574	423	46	-1	
5	1	4	1	1	1	798	574	101	32	64	Elson
5	1	4	1	1	2	935	576	286	44	51	1'territory.
2	1	5	0	0	0	31	550	428	76	-1	
3	1	5	1	0	0	31	550	428	76	-1	
4	1	5	1	1	0	31	550	428	76	-1	
5	1	5	1	1	1	31	550	428	76	95	 
2	1	6	0	0	0	63	697	1306	336	-1	
3	1	6	1	0	0	63	697	1306	336	-1	
4	1	6	1	1	0	64	697	1305	76	-1	
5	1	6	1	1	1	64	697	170	32	72	Sxtuatlon
5	1	6	1	1	2	271	722	263	31	52	Excavated
5	1	6	1	1	3	575	723	113	32	59	from
5	1	6	1	1	4	719	725	178	33	48	death
5	1	6	1	1	5	935	727	52	33	78	in
5	1	6	1	1	6	1026	729	40	40	46	31
5	1	6	1	1	7	1084	731	112	42	50	ate
5	1	6	1	1	8	1234	733	135	32	66	sand.
4	1	6	1	2	0	64	847	1004	72	-1	
5	1	6	1	2	1	64	847	165	32	74	Remarks
5	1	6	1	2	2	267	867	115	42	41	Sharp
5	1	6	1	2	3	419	871	168	45	6	1101385 
5	1	6	1	2	4	630	876	173	40	53	AUSUSt
5	1	6	1	2	5	841	875	46	44	53	1-1)
5	1	6	1	2	6	929	877	139	42	49	limb",,12831,,,,,,,135,135_12831.pdf.png
4748,,fragment of whipped implement,well flee massachusetts ,13989,,,"Wellfleet, MA",,Round in 1912.,108,141,141_13989.pdf.png
7895,.,flag. implement,lake in temiscamie given miles from mouth ,9244,,Me. 152/7,,Photo.No.,,,118,118_9244.pdf.png
7623,,Life,south yell fleet mass we his etat ,14863,,,1. Leutonnnt I vlr -.nd.,,Round by John 3.H0f1lzinson in 1919.,1083,141,141_14863.pdf.png
2717,,,,8514,v'n -)..,,,,,53,114,114_8514.pdf.png
7214,'filth,Him herd. decorated. mineral camp,is tom had ,8732,"Area 13 Q q. 81. from x. 60 from.Of. 7"" deem 1. base of shell. below date I.",M13/77,Great Beach Hill,Photo.No.,,,116,116_8732.pdf.png
682,,Plummet.,blue hill fall me ,2042,French of.1'Section of. Black human and pebbles.,Me. 152/1,Nevin Shellheap,PhotO-NO-,,1343,25,25_2042.pdf.png
6421,,Drag. arrowpoint,lake in temiscamie ni very miles from mouth ,10931,"Excavated. 310"" deep pinkish sand.",,,Photo.No.,,95,126,126_10931.pdf.png
734,,Simple bone point.,blue hill falls me ,2095,French of.2. Section Of. Coarse shells.,Me. 152/1,Nevin Shellheap,Photo.No.,,2451,25,25_2095.pdf.png
3962,,Potsherd,miles of site law soda ,12600,Our a C e,M12/43,,Photo.No.,,Orig.No.,134,134_12600.pdf.png
7891,,mac scraped,north point entrance to bay leading to long portages from ,9490,,,,Photo.No.,Collected by Edward Papers,0mm).,118,118_9490.pdf.png
133,I,Scraped,mass ,7417,Round on surface-,M39/7,Grassy Island,,Collected by E.B. Delabarre.,1623,103,103_7417.pdf.png
4499,,Knife,hurled point udennysville maine ,13381,bang near spring) in shell and loam.,Me. 152/7,Hurley Point,,,,137,137_13381.pdf.png
3593,(W,fragment of chief implement.,wellfleet massachusetts ,14328,,,"South Wellfleet, Massachusetts",,Round by John E. Hopkinson.,Sbo,141,141_14328.pdf.png
2719,,Worked fragment falsity,lowell it up ilii no or mass ,8584,"QQllurc- 02.1"" of"" from IXZ'in'12"" from 021-13 671"". deep 1/ at base of loud 55"" below date",,Van utcensburh,,,,114,114_8584.pdf.png
8862,,singer,north true massachusetts ,15378,,,Pilgrim Heights,,Round in 1930.,,141,141_15378.pdf.png
4212,,Edge whetstone,,13014,,,"Vicinity of Lowell, Mass",,,,136,136_13014.pdf.png
8887,,knit fe,wellfleet massachusetts ,15493,,,Taylor Hill Site,,round in 1930.,1778,141,141_15493.pdf.png
2298,,the Red-on-black potsherds. Hohokam type.,arizona ,6691,,M50/1,"Snaketown, Arizona",,Exchange from Sila Pueblo'Love Arizona for Necks Pottery.,,79,79_6691.pdf.png
2671,',Worked fragment quart,,8364,"CFC... YII-L 5'9"" -'1'o..A 11-7
4	1	4	1	2	0	35	730	1404	59	-1	
5	1	4	1	2	1	35	730	44	37	64	D. 1114) 133 34"" 40x01(any age"" J.Of'.. U'VII.",Me. 152/7,J'lrls' Scou d Laxp,,,L/Q,110,110_8364.pdf.png
3305,',Openly Elongated.,tewksbury has ,8397,total. 27'- below date. 13-125 from oh a 3 sin into YIL a total depth 26 n below date.,,Grindle,,,30A,111,111_8397.pdf.png
2649,,Worked fragment telslte,op luff mr pouch or you r,8340,I(1 loan,Me. 152/7,urls' 530.41. pr,Photo.No.,From 1944 t.-st,0mm. 3,110,110_8340.pdf.png
4981,n,fragment of knife,south well flee massachusetts ,14305,,,Lieutenant's Island,,Round by John E. Hopkinson.,195,141,141_14305.pdf.png
1800,,,else hill fr ll lie ,680,Trenciz ICJT'Action of. Of-love and ffhPlls in,Me. 152/1,,,,,3,3_0680.pdf.png
6640,,crude broken adve made of grey,up may pick to county novascotia ,13582,,,Quarry Island  Merizomish Harbor,,,,139,139_13582.pdf.png
952,,Broken falsity knife.,blue hill full lie ,2314,French 10.21 Section 23. 31.2. corner'above plow line.,Me. 152/1,Nevin Shellheap,Photo.No.,,1064,25,25_2314.pdf.png
2911,,Small grit-tempered short cord-wound-twig,ellsworth fallen maine ,10028,Ku on Of - Topsoil. 29 North x 21 West of Of depth g(leveled from Of),M39/7,Wasp Island,Photo.N0-,02 xJuu-lie in/K JAKE kill 4906.2.47. JSM of-w/(/'t'1-33'l/00g3j7/38-7161x viva(a/J-0 J/mug/0/93,,125,125_10028.jpg.png
200,,the Fragment of point.,ballardvale mass ,7524,"In brown layer about 5"" deep. 69"" from him a from F3E. Section EZE.",M13/77,Stickney Site,,,24,106,106_7524.pdf.png
1728,Case,Paper scraped.,blue hill lie ,608,French IDJH Section 513. Upper part of shells.,Me. 152/1,Nevin Shellheap,Photo.No.,E297),0rig.No.23,3,3_0608.pdf.png
7589,,Innocent. straight bad'e. point. straight stem bug diabaao,ipswich mass ,8973,"Area 1'Q. a he"" from a 73"" from a 7"" deem at base of shell. 27"" below date I.",He.152/1,Great Beach Hill,Photo.No.,,121,116,116_8973.pdf.png
5138,,cart of arrow near,south well flee massachusetts ,14496,,,Pleasant Point,,Round in 1916.,7116,141,141_14496.pdf.png
358,,Abolishing stroma edges peeped.,eastern of squibnocket pond martha vineyards mass ,210,Dec. 206 above plow line.,M50/1,Hornblower Shell Heap,Photo-No.,,Oriz.No.S/183,2,2_0210.pdf.png
6793,,bartering hammer,see nay count quebec ,13631,From first trench second terrace.,,"LaPointe Farm, Tadousac",Photo.No.,,6551),139,139_13631.pdf.png
2346,,Arrow point.,andover has ,6873,Round July 18 1939-,M12/43,Piggery,,Lift of Arthur M. Hofmanm Ballardvalm Pass.,201,83,83_6873.pdf.png
2538,,Broken arrow point.,andover mass ,7290,"8"" deep in yellow ranch west of trench.",M12/43,Piggery,,Lift of Arthur m. Hofmanm Ballardvalm Pass.,318 at,92,92_7290.pdf.png
8289,Collected by Duncan Strong.,,mi of jack lanes bay g,1280,,,chalcedony.,,Exchange with Field Museum Chicago.,,17,17_1280.pdf.png
1562,,Arrowpo in.,ally h,2951,French 10.3 Section 1011. Upper shell.,Me. 152/1,Nevin Shellheap,Photo.No.,,,25,25_2951.pdf.png
4757,F met,fragment of climbed implement,wellfleet massachusetts ,14001,,,"Wellfleet, MA",,lkmuuks Round in 1912.,,141,141_14001.pdf.png
2414,,Arrow point.,andover mass ,6941,Round Dug. 6 1906.,M12/43,,,Lift of Arthur H. Hofmanm Ballardvale Pass.,1 78,83,83_6941.pdf.png
8049,24--American Antiquity Vol. XIV. Plato x,arrowpoint,lake in temiscamie give by miles from mouth ,9283,Artifacts excavated from two pockets on beach close under bank.,Me. 152/7,,Photo.No.,collected by Murray H. Rogers,,118,118_9283.pdf.png
8943,.,He-touched blade,bay south of site no ,9417,,,,Photo.No.,"Collected b"" Murray H. Rogers",,118,118_9417.pdf.png
891,,Plummet.,blue hill falls le ,2253,of. Venue.,Me. 152/1,Nevin 311911 Hepv.,PhotO-No.,,Oris.No-1975,25,25_2253.pdf.png
5938,,Knife.,trent om newjersey ,1620,,,,,Exchange with University Museum Philadelphia.,622,20,20_1620.pdf.png
7473,,Worked fragment. quart,ill it ma ,9003,"i'deem in brown clay(no here). 25"" below date I.",M13/77,Great. Neck - I,,l,109,116,116_9003.pdf.png
4221,,Scraped.,mine her point westshore was bay perry maine ,13024,Of s t 1 V 9 N wa110 bottom of upper fire ca. in is.,Me. 152/7,Mincher's Point,,,3,137,137_13024.pdf.png
4440,6/16/51.,raiment of knife,side of toll bu duc in snore of bar harbor perry me ,13306,V 1') in o in,Me. 152/7,Toll Bridge,Photo.No.,Lift of Or. of. Kingsburm Merry He.,,137,137_13306.pdf.png
8069,,flag. Arrowpoint,lake mistassi nl west of portages around rapid out of lake albany ,9141,,H35,,Photo.No.,Collected by Edward Papers,,118,118_9141.pdf.png
4638,,awl-like bone object,not tawasaga two usimcoe oho it ,13765,excavation 6.,,bidey-Mackay,,,2071451'1,139,139_13765.pdf.png
5973,,Arrowpoint.,bedford newjersey ,1657,,,,Photo.No.,Exchange with University Museum Philadelphia.,NA5273,20,20_1657.pdf.png
2906,Case,N'me Flat adve sharp edge.,island non aim nlabrador ,1346,,,,Photo.No.,Exchange with Field Museum Chicago. Collected by Duncan Strong. E894),177056,17,17_1346.pdf.png
6139,,Broken arrowpoint.,warren mass ,1823,,,Near Talbot's Brook,,Rake collection Brookfielcu Pass.,37,21,21_1823.pdf.png
7945,,flag. knife,twelve miles up temiscamie river on ft bank ,9297,,Me. 152/1,,PhotO-NO-,collected by array H. Rogers,,118,118_9297.pdf.png
8817,,Life,south wellfleet massachusetts ,15236,,Me. 152/7,Land of Est. of G. S. MacFarland south side of point where Indian,,Round in 1928.,,141,141_15236.pdf.png
3365,not,Case of whipped point,ellsworth falls maine ,9857,"Of - Iron flecked sit area 1"" above reddish-brown hearth layer. 55"" Form 225"" West. depth 11-5""",,Wasp Island,,,,125,125_9857.jpg.png
7342,,Hameratone,is rich mass o,8852,"Area 1. Q. a son from 15.7. 60"" from a m"" deep'in pit leading down from black clay under shell'57"" below date I.",M13/77,Great Beach Hill,,,,116,116_8852.pdf.png
786,,Broken awl.,else hill falls me ,2148,French of Section Of. Deep in black human and pebbles near center of 18.3 line.,Me. 152/1,Nevin Shellheap,Photo.N0-,,,25,25_2148.pdf.png
2432,,Arrow point.,andover mass ,6959,Round July 8 1898.,M12/43,,,Lift of Arthur M. Hofmanm Ballardvalm Pass.,26,83,83_6959.pdf.png
6755,,Whetstone,pick to county gnovascotia ,13531,shell heap east of South joint Finlayson Is.,,Finlayson Island0 Merigomish,Photo.No.,,,139,139_13531.pdf.png
7748,,Utilized chip,enns vi ll mains ,11789,A - 1 I r e.,Me. 152/7,Seneca River,,,,130,130_11789.pdf.png
857,,Piece of saved slate.,else hill all lie ,2219,French IAJ) Unction of. Above plow line.,Me. 152/1,Nevin Shellheap,Photo.No.,,QuinNo-zhas,25,25_2219.pdf.png
382,,1 stemmed whipped stone arrowpoint 1 broken triangular'f,me as tend of squibnocket pond martha spine arm mass ,234,Or. 1 Dec. 208 above plow line.,M50/1,Hornblower Shell Heap,PhotO-NO-,,Orig.No.S/93,2,2_0234.pdf.png
4150,,Trills - expanded based lump form.,,12951,,,"Vicinity of Lowell, Mass",,Sawtelle collection,,136,136_12951.pdf.png
7393,,Worked fragment. I'R'L,ipswich in ,9072,"Area I Q. 11K 70"" from him 
5	1	5	1	1	5	598	738	125	37	76	from.
5	1	5	1	1	6	745	739	107	47	76	12L.
5	1	5	1	1	7	892	735	54	41	89	6 deep. in brown clay(no shell here). 234i"" below date I.",M39/7,Great Beach Hill,,,,116,116_9072.pdf.png
3682,,unfit shed lui fe,sum wellfleet mass his at to,15088,,,Garden of G.S. MacFarland on North Side,,round in 1923-,13143,141,141_15088.pdf.png
1856,,Lake scraped.,blue hill fan go me ,736,French 10.2 Section 73. In shells above plow line.,Me. 152/1,Nevin Shellheap,PhotmNo-,,259,3,3_0736.pdf.png
