,Cat Number,Site Number,Locality,Site,Name,Situation
1060,I Cat. No. 225;,Me.152/1,"’ Locality Eluehill Falls, Me.",Site Nevin Shell Heap.,’ Name Adze.,"S. t.
ltua Ion Trench IB.-'.3, Section 2E. In humus in run}: f“! nn-r-"
1061,Cat. No. 2259,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap .,Name Adze blank.,"Situatim Trench 1213.2, Section 21?. In humus beside 2258."
1062,Cat. No. 2260,Me.152/1,"Locality Bluehill Falls, lie.",Site Nevin Shell Heap.,Name Point of knife.,"Situatim Trench TB.2, Section 2B. In humus in rock floor"
1063,Cat. No. 2261,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap .,Nlme Broken adze'.,"Situatim Trench 13.2, Section 2E. In humus, rock floor."
1064,Cat. No. 8262,Me.152/1,"Locality Bluehill Falls, M",Site Nevin Shell Heap.,Name Broken plummet .,"Situa?On Trench IB.2, Section 2E. In humus - in roc‘"
1065,| Cat. No. 325:,Me.152/1,"Locality Bluehill Falls

, Lie.",Site Nevin Shell Heap.,N‘me Broken plummet.,"Sim?m Trench IB.8, Section 3E. In humus - rock floor."
1066,Cat. No. 2234,Me.152/1,Locality Blueh i 1 1 Fa],Site Nevin Shell ‘,Name Broken plumm,"Situatim Trench 1B,? Section 3E. Deep in humus

)"
1067,I Cat. No. 8265,Me.152/1,"Locality Bluehill Falls, Lie.",Site Nevin Shell Heap .,Name Butt of broken adze.,"Sim?on Trench 113.2, Section 3E. Deep in humus."
1068,I Cat. No. 235‘,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap .,Nine Disk knife.,"Sim?m Trench IB.2, Section 2133. Deep in humus."
1069,Cat. No. 3357,Me.152/1,"Locality Bluehill Fells, lie.",Site Nevin Shell Heap .,Nlme Broken gouge.,"Situatim Trench IB.2 Section 2E. Deep in humus.

I"
1070,Cat. No. 2268,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap.,Name Felaite knife.,"Situation Trench IB.2, Section 2E. Stake section - humus"
1071,I Cat. No. 235s,Me.152/1,"Locality Bluehill Falls, Lie.",Site Nevin Shell Heap .,Name Worked flake .,"Situation Trench 113.3, Section BE. In shells above plow"
1072,Cat. No. 3270,Me.152/1,"Locality Bluehill Falls, Lie",Site Nevin 81911 Heap.,Name Worked flake.,"51mm“ Trench 113.3, Section 2B. In shel‘ls above plo'"
1073,I Cat. No. 237],Me.152/1,"Locality Bluehill Falls, Lie.",Site Nevin Shell .. ‘19-'10-,Name Tang of felsite arrow:,"Situa?m Trench IB.3, Section 2E. In humus just below"
1074,Cat. No. 2272,Me.152/1,"Locality Bluehill Falls lie.

’",Site Nevin Shell Heap.,Nine Broken knife .,"Situation Trench IB. 3, Section 2E. In humus. 20cm. be10‘

-H '- ,-J_IgA"
1075,l Cat.No. 327:,Me.152/1,"Locality Bluehill F3811 , Me.",Site Nevin Shell Heap.,Name Point of felsite spear,"Situatim Trench IB. Section 2E. 200m. below IB.3/1E

3’"
1076,I Cat. No. 2374,Me.152/1,"Locality Bluehill Falls, Lie.",Site Nevin Shell Heap.,"Name

Scraper.","Situation Trench IB. 3, Section 2E. 180m. below IRE/IE

.l_ L-"
1077,I Cat. No. 3275,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heep.,Nun“ Thumb scraper .,"Situation 23310314133, Section 213. In humus, 210m. below"
1078,I Cat. No. 287i,Me.152/1,"Locality Bluehil‘. Falls, Lie.",Site Nevin Shall Hem.,Name Gouge or skinning knif,"Situation Trench IB.5, Section 3E. Humus above 2nd shelw"
1079,Cat. No. 2377,Me.152/1,"“cam? Bluehill Falls, 1.!",Site Nevin Shell Heap .,Name Edge of broken ad:,"Situation Trench IB.3, Section 212'. In humus above 2n

(3% 51 1 1 0.11er"
1080,Cat. No. 2278,Me.152/1,"Locality Bluehill Falls, Lie.",Site Nevin Shell Heap.,Name Piece of slate point.,"Situation Trench 18.3, Section 212. Humus below 2nd shell"
1081,Cat. No. 2279,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shel? Heap.,Name Adze blank.,"Situation Trench IB.3, Section 3E. Humus below 2nd shell"
1082,Cat. No. 2380,Me.152/1,"Locality Bluehill Falls, LI",Site Nevin Shell Heap .,Name Plummet .,"55mm” Trench 113.3, Section 3E. Humue - 430m. belo‘

_l__"
1083,I Cat. No. 228],Me.152/1,"Locality Bluehill Falls, lie.",Site Nevin Shell Heap .,Nme Fragment of slate pale,"Situation Trench IB 3 Section 23E. In humus 51cm. below

T“ — lunc—"
1084,Cat. No. 3282,Me.152/1,"Locality Bluehill Falls ,Iia .",Site Nevin Sh ell Heap .,NW Broken plummet .,"Situa?m Trench IB.‘3, Section 2B. In humus 58cra. belcr

-_ _ [—-"
1085,Cat. No. 2233,Me.152/1,"Locality Bluehill Falls, Lie",Site Nevin Shell Heap .,Name Butt of knife.,"Situa?On Trench IB.S, Section 2E stake. In shell be10*"
1086,| Cat. No. 2284,Me.152/1,"Locality Blue-hill Falls, Lie.",Site Nevin Shell Heap.,Name Plummet .,"Situation Trench IB.3, Section 21? sthe. In humus 40cm.

j_-,"
1087,Cat. No. 2235,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap .,Name Butt of knife.,"Sim?m Trench IC Section 2E. In shells above plow

, _A._I _,-"
1088,Cat. No. 2286,Me.152/1,"Locality Bluehill Falls, He.",Site Nevin Shell Heap .,Name Crude Celt .,"Simtion Trench 10 Section 2E. On top of humus on Io

”.0 :31- ‘1‘ -AAL-IA..."
1089,Cat. No. 228?,Me.152/1,"Locality Bluehill Falls, He.",Site Nev'in Shell Heap .,Name Plummet .,"Situati‘m Trench 10, Section 2E. On to? of humus; in"
1090,I Cat. No. 2335,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap.,Name Part of polished slate,"Situa?” Trench IC, Sggtigg 2E. In humus below shells,"
1091,Cat. No. 2289,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Bea .,Name Crude knife .,"Sitm?m Trench IC, Section BE. In humus in S.E. come"
1092,I Cat. No. 339(,Me.152/1,"Locality Bluehill Falls, Lie.",Site Nevin Shell Heap .,Name Point of felsite drill,"Situati‘m Trench IC, Section 2E. In humus in 8.153. corner"
1093,Cat. No. 2291,Me.152/1,"Locality Bluehill Falls, Lie.",Site Nevin Shell Heap .,Name Butt of tanged arrowpo,"Sim?m‘ Trench 10, Section 8E. Deep in humus in center"
1094,Cat. No. 2292,Me.152/1,"L°¢=alitYBluehill Falls , Lie .",Site Nevin Shell Heap .,Name Butt of celt.,"Situation Trench 10, Section 2E. In humus just below 2nd

nkn11 1nutn‘ 4“ Q m AAmA‘"
1095,Cat. No. 2293,Me.152/1,"Locality Bluehill Falls, Lie.",Site Nevin Shell Heap-,Name Skinning knife.,"Situation Trench IC, Section 2173.111 humus just below"
1096,I Cat. No. 2294,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Hea p .,NW Plummet .,"Situation Trench IC, Section 2E. Humus below 8nd shell

1_,-_,,"
1097,I Cat. No. 2295,Me.152/1,"l Locality Bluehill Falls, Me.",Site Nevin Shell Heap.,Name Piece of Bawed slate.,"Situation Trench 10 Section 212. Black humus 520m. below

val-In"
1098,I Cat. No. 229E,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap .,Name Fragment of skinning k,"Situati‘m Trench IC, Section 2E. Deep in humus."
1099,l Cat.No. 2291,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heep.,Name Piece of sawed slate.,"swath“ :I‘rgnch_1ql_8ection 2E. Deep in humus, 58cm."
1100,Cat. No. 2298,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap .,,"Situatim Trench IC, Section BE. Black humus at bottom"
1101,| Cat. No. 229$,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap .,Name Plummet .,"Situation Trench IC, Secjsion 2E. Black humus and pebbles"
1102,I Cat. No. 230(,Me.152/1,"Locality Bluehill Falls, Lie.",Site Nevin Shell Heap.,Name Tanged arrowpoint .,"Situation Trench IC, Section 2E. 59cm. below 10/21? in

“1 n A1» ‘n‘qnqun"
1103,I Cat. No. 2302,Me.152/1,"Locality Bluehill Falls, Lie.",Site Nevin Shell Heap.,Name Fragment of cutting ed,"Situation Trench IC.1,_Section 2E. On 1701') of shell layer"
1104,Cat. No. 2302,Me.152/1,"Locality Bluehill Falls, LI",Site Nevin Shell Heap .,Name Butt of adze.,"Situation Trench 10.1, Section 2E. In southeast corne"
1105,| Cat. No. 2302,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap.,Name Large felsite flake.,"Situation Trench IC.1, Section 2E. In 8.12. corner above"
1106,I Cat. No. 230‘,Me.152/1,,Site Nevin Shell Heap.,Name Plummet.,"Situation Trench IC.1, Section 2E. 8cm. below plow line"
1107,Cat. No. 2305,Me.152/1,"Locality Bluehill Falls Me.

i",Site Nevin Shell Heap .,Name Adze .,"Situation Trench 10.11., Section 2E. lSom. below plow line"
1108,Cat. No. 2306,Me.152/1,"Locality Bluehill Falls, Lie.",Site Nevin Shel]. Heap .,Name Broken gauge .,"Situation Trench IC. 1 Section BE. In shell lense 300m.

1. -1 -_ 1'}! In“,"
1109,Cat. No. 2307,Me.152/1,"Locality Bluehill Falls, He.",Site Nevin Shell Heap .,Name Plumm et .,"Situation Trench 10.1, Section 2E. On edge of shell lens"
1110,| Cat. No. 2305,Me.152/1,"Locality Bluehill Falls, me.",Site Nevin Sh ell Heap.,Name Tang-ed arrowpoint .,"Situation Trench 10.1, Section BE. 40cm. below top of"
1111,| Cat. No. 230i,Me.152/1,"Locality Bluehill Falls, He.",Site Nevin Sh e11 Heap .,Name Small plummet .,"Situation Trench 10.], Section 2E. _33c_:m._‘pe1_ow_ tog: of"
1112,Cat. No. 2510,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap.,Name Tanged arrowpoint .,"Situation Trench IC.1, Section?E: 4gcp. below top of

-"
1113,I Cat. No. 231:,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap .,Name Notched sinker .,"Situation Trench I_C.1, Sgction 213. In pebbles just under"
1114,| Cat. No. 2312,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap .,Name Tanged arrowpoint .,"Situation Trench IC.1, ?gctionigE. Shgft gf?gave 3 in"
1115,Cat. No. 2313,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap.,Name Used chip .,"Situation Trench 10.2, Section 2E. In east part above"
1116,Cat. No. 2314,Me.152/1,"Locality Bluehil]. Falls,",Site Nevin Shel‘. Heap‘,Name Broken felsite k1,"Situation Trench IC.2, Section 2E. NE. corner, abov

A4""_,, ‘3..-"
1117,I Cat. No. 2315,Me.152/1,"Locality Bluehill Falls, Lie.",Site Nevin Shell Heap .,Nme Large plummet .,"Situation Trench 10.? 2, Section 2E. On top of black humus

141"
1118,I Cat. No. 2311,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap.,Name Point of spear head.,8mm“ Trench 10.2? Section 2B. In lower part of shell
1119,I Cat. No. 231‘,Me.152/1,"’ Locality Bluehill Falls, He.",Site Nevin Shell Hee p .,Name Butt of 18181136 knife.,"Situation _Trench_ I_C.2 2, ASegtion 2E. Upper part of black"
1120,Cat. No. 2318,Me.152/1,"Locality Bluehill Falls, M",Site Nevin Shell Heap .,Name Broken adze blank.,"Situation Trench 10.2, Section 2E. In NAN. part unde"
1121,I Cat. No. 2311,Me.152/1,"} Locality Bluehill Falls, Me.",Site Nevin Shell Heap.,Name Broken drill .,"Situation Trench _IC.{3,__Section 2E. In gentral part under"
1122,I Cat. No. 232!,Me.152/1,"Locality Bluehill Falls, Me.",Site Nev in Shell Heap .,Name Small hammerstone.,"Situation Trench IC. 2 Section 2E Southeastern corner in

in. ."
1123,I Cat. No. 232,Me.152/1,"' Locality Bluehill Falls, Me.",Site Nevin Shell Heap .,Name Oelt .,"Situation Trench IC.2, Section_ 2E. In NW. corner next

A- II, 7 -"
1124,| Cat. No. 3321,Me.152/1,"Locality Blue-hill Falls, Me.",Site Nevin Shell Heap .,Name Broken adze .,"Situation Trench 10.2, Section 2E. N.Wr. corner next to"
1125,I Cat. No. 233:,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap.,Name Large plummet .,"Situation Trench 10.2, Section 23. 9mm corner in"
1126,| Cat. No. 2334,Me.152/1,"Locality Blue‘hill Falls, Me.",Site Nevin Shell Heap .,"Name 2 pieces of badly erod

‘ .‘_-","Situation Trench 10.8, Sectémr} 8E. S.W. corner of section"
1127,I Cat. No. 233!,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap .,Name Plummet .,"Situation _'rr_ench 10.3, Section 2E. In rock ”circle“ iust"
1128,| Cat. No. 333‘,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap.,Name Butt of tanged arrowpc,"Situation Trench IO. 3, Section 2E. In N.W. corner in

__L__ ,,,,,"
1129,Cat. No. 2327,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap .,"Name Chipped slate, leafsha","Situation Trench 10.5, Section 2E. At bottom of deposit"
1130,I Cat. No. 2321,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap.,Name Small plummet .,"Sitmtion Trench IC.’< -, Section 2E. In pocket of ledsze in"
1131,| Cat. No. 2329,Me.152/1,"Locality Bluehill Falls, me.",Site Nevin Shell Heap.,Name Large felsite scraper.,"Situation Trench IQ.4, Section 3E. In pebble layer near"
1132,I Cat. No. 233“,Me.152/1,"‘ Locality Bluehill Fall-s, Me.",Site Nevin Shell Heap .,Name Broken bone awl.,"Situation Trench IA.1,_ S_ec:t}orj._2E, 350m. below IA.1/1E"
1133,Cat. No. 23 33..,Me.152/1,"Locality 911.9314. 4‘I '1 17,51 ‘1 ,— 1!
._ N _. . ’","Site

I

v
m‘.’

u
7.1""

tram 1

*Inp. ..",Name Worked m-vn'r'df‘i.s.. :,"' ' .-= *3 An .
Situatlon ""French T 1 CDP"" .nn '7‘ .. PW.

‘- .
..,.A) _ . . ..
3

1m] 0w IA . l /1"
1134,| Cat. No. 2337.3,Me.152/1,"Locality PiurT‘wTW‘i 17,11“ ""","Site T?e~.~""""71 .‘7‘. ‘11.? V17"".",Name ETC-Grin t?oth Chiffpj‘,"-- -- - ~ ~. h.“ ._. ‘0..= ..

o . __ -_ - _ . I"
1135,"'—
Cat. No. 2333:;",Me.152/1,"L°°a1ity T'ue‘hil'l “Min. v
. - .._. ,","Site ”,1"": “ aptly! 1 Ln. ..
- - W . ...","J

, Name Fr?gmnn‘r of 171015“","Situatmn TT""TIC"""" ""'9‘ 3‘ 7r‘0f4qyw 5-7"" 71031.4 ‘pn‘lnm TA “’1‘

— c: ) A. -‘ -—'--A'.'l.'4.
_'__ ~'1__'I‘ .B'1_AV__1 ‘_.. _‘"
1136,Cat. No. 1:73 3,Me.152/1,"Locality ”T 1' r37?"" ‘i 1‘. 7

37,11...

2

I!","Site ' ' ‘ r“ ‘
y . u C‘
\. .‘. . I _
? 7; _ . . 1 .1 I}, J.","Name F1 Sh ‘V‘W‘ f‘ .'.‘."":r‘:'. .

._ ....","Skua?on

'T‘T-nanfu‘px

TA

v

n

J

Snofian QT

- 0

PI‘

fun. .

R07 my;

.9 .

n [1

-v"
1137,,Me.152/1,"- .- Ti‘r'11 ~ E""
Locallty ‘.-""',‘,‘-‘v1HI"" f.) ..",,"""- ?“Ptv-v‘n '5 V1!-","Situation T-g-nyfy '3‘ v Smap‘kiqn f}? drum,- 1"",-u-- Tn vH-v

   

J

v . ,. -|'l-"
1138,I CatNo 'T’f?,Me.152/1,"h .1 .,
y ”3‘1. ._ _
~~'1u.-.-.

lit .

Loca

731%?","Site "" '
my». ?‘ mi“ ”1 1 17.. ..",,". - . .- u ‘ - . a-.. 'rgq ?/?t""
Situatwn Trn?nh I"" f"" 7r~¢+j?fj V‘?‘ ""'9'. hr‘l' _ __ _

o .

 

,1_-v-w 1"
1139,"Cat. No. LIT?""
s. 5,: .",Me.152/1,"Locality 75.71:»?T‘511 V?'T‘r‘. T'

‘ J",,"Name Swim"" 'b'N'Zé‘

. A_. ‘. c","Situation

mvnwp?

..

U.""

-u n-

.

on?+4nn

. . .

“T.”

-.r\

,-\¢~."
1140,"I Cat. No. $27.7.""",Me.152/1,"Locality ”~77 1.1.9341"" 797.7 ""

J","Site

1‘- W... 4 .-

{I‘l- 51-1","Name FO'WV‘T T0017“. Chis-""5‘","Situation T11 07‘ CT"":"
1141,"Cat. No. 7’"" '7‘

v. V"". -",Me.152/1,"- . .11
I I I. nq?
oca D [I .
lty _ .

7’1”?"" r'

J

v","Site

VV

(\Vr': ---‘","Name

Broken bnnc 9wl.","Situation

m'v-rqa (‘1:

TA

A

,.."
1142,| Cat. No. 234C,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Hear .,Name Eye end of needle.,"Situation Trench IA_.3, Sgctign 231:3. _In humu§ and pebbles,"
1143,Cat. No. 234],Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap.,Name Beaver tooth chisel,"Situation Trench IB, Section 2E. In shell flecked humus"
1144,Cat. No. 2342,Me.152/1,"Locality Bluehil] Falls,",Site Nevin Shell Heaj,Name Butt of Spatula,"Situation Trench IE, Section 2B. In 2nd shell layer"
1145,Cat. No. 2343,Me.152/1,"Locality Bluehill Falls,",Site Nevin Shell Heal,Name Bone bayonet poi,"Situation Trench IE, Section 21E. _Bot_tom of 2nd shel"
1146,I Cat. No. 2344,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap.,Name Broken worked antler.,"Situ??m Trench IB, Section 2313. Black humus, just below"
1147,| Cat. No. 2345,Me.152/1,"Locality Bluehill Falls, He.",Site Nevin Shell Heap.,Name Bone awl .,"Situation Trench IE, Section 3173.. In humus in ""Spider's"
1148,| Cat. No. 234E,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shel] Heap.,Name Bone needle .,"Situation Trench IE, Section 3E. In ""spider's nest""

—— I‘—"
1149,| Cat. No. 2347,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shel] Heap .,Name Needle point.,"Situation Trench IB, Section 2E. Humus and pebbles."
1150,| Cat. No. 2348,Me.152/1,"Locality Bluehill Falls, lie.",Site Nevin Shell Heap.,Name Fragment of fish bone,"Situation Trench 18, Section 23E. Stake section in fish

___‘I -"
1151,I Cat. No. 234$,Me.152/1,"Locality Bluehill Falls, Lie.",Site Nevin Shell Heap.,Name Simple bone point.,"Situation Trench 18.1, Section PE. In humus."
1152,| Cat. No. 235C,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Sh e11 He”? -,Name Fragment of bone harpo,"Situation Trench 18.1, Section 2E. Humus."
1153,Cat. No. 8351,Me.152/1,"Locality Pluehill Falls, Ile.",Site Nevin Shell Heap.,Name Broken bone implement.,"Situation Trench 113.1, Section SE. Grave 6 — humus."
1154,| 'Cat. No. 2352,Me.152/1,"Locality Bluehill Fells, Me.",Site Nevin Shell Heap .,Name Piece of needle.,"Sthion Trench IB.1, Section 3E: _In pebbles under center"
1155,I Cat. No. 235:,Me.152/1,"Locality Bluehill Falls, Lie.",Site Nevin Shell Heap.,Name Worked bone .,"Situation I{trench IB.2, Section 2E. In humus, below rock"
1156,Cat. No. 2354.,Me.152/1,"Locality Bluehill F3115, 2.19.",Site Nevin Shnll Heap.,Name Out swordfish sword.,"Situation Trench 18.23, Section BE. Deep in humus."
1157,Cat. No. 2355,Me.152/1,"Locality Bluehill Falls, Me",Site Nevin Shel] Heap .,Name Piece of sawed bone,"Situation Trench IB.5, Section 2B. In shells below plo‘"
1158,I Cat. No. 235!,Me.152/1,"Locality Bluehill Falls, Lie.",Site Nevin Shell Heap .,Name Beaver tooth chisel.,"Sim?on Trench IB.3, Section BE. Below 2nd shell lave:-"
1159,Cat. No. 3357,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap .,Name Perforated fish verteb,"Situation Trench 113.3, Section BE. In humus below 2nd"
1160,| Cat. No. 235E,Me.152/1,"Locality Bluehill Falls, He.",Site Nevin Shell Heap .,Name F1 shbone awl .,"Situation Trench IB. 3, Section 2E. In humus 49cm. below

-_.- I- _"
1161,Cat. No. 2859,Me.152/1,"Locality Bluehill Falls

£1",Site Nevin Shell Heap .,Name Fragment of beaver too,"Situation Trench 113.3, Sec‘rion BE. Black humus 510m.

[—"
1162,| Cat. No. 236(,Me.152/1,"Locality Bluehill Falls, Lie.",Site Nevin Sh ell Heap.,Name Used antler tine.,"Situation Trench 10 Section PE. In shells above plow

-L — . __I-_"
1163,| Cat. No. 236],Me.152/1,"Locality Bluehill Falls Lie.

1",Site Nevin Shell Heap .,Name Fragment of beaver too,"Sitution Trench IC, Section 2E. In humus in S.W. corner"
1164,I Cat. No. 335;,Me.152/1,"Locality Bluehil‘l‘ Falls, lie.",Site Nevin Shell Heap.,Name Broken unfinished bone,"3mm” Trepch IQ, Segtjion 23. In humus to south of"
1165,Cat. No. 2363,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap .,Name Part of barbed harpoon,"Situation Trench IC, Section 2E. In 3nd shell layer,"
1166,I Cat. No. 236‘,Me.152/1,"Locality Bluehill Falls, lie.",Site Nevin Shell Heap .,Name Beaver tooth chisel.,"situation Z‘rqnch jig, Section 2E. In hwrms just below"
1167,Cat. No. 2365,Me.152/1,"Locality Bluehil‘. Falls, Me.",Site Nevin Shell Heap .,Name Saved bone .,"Situation Trench 10 Section BE. In humus below 2nd Shel?

’"
1168,Cat. No. 2366,Me.152/1,"Locality Bluehill Falls, Lie.",Site Nevin Shell Heap .,Name Broken bone awl.,"Situation Trench IO: Section BE. Stake section in black

_1, _'I'I ""__,___"
1169,I Cat. No. 2361,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap .,Name Worked beaver tooth.,"Simtion Trench 10.1, Section 2E. I‘LW. 'comer at plow"
1170,I Cat. No. 3361,Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap .,Name Worked beaver tooth.,"Situation Trench IC. 1 Section 2_E. glam. below plow line in

.--a"
1171,Cat. No. 2369,Me.152/1,"Locality Bluehill Falls, lie.",Site Nevin Shell Heap .,Name Broken bone awl.,"Situation Trench IC.1, Section SE. In humus and pebbles"
1172,| Cat. No. 237C,Me.152/1,"Locality Bluehill F9119, lie.",Site Nevin Shell Heap .,Name Piece of worked bone.,"Simtion Trench 10.1, Section 21"". 4cm. below plow line"
1173,| Cat. No. 237],Me.152/1,"Locality Bluehill Falls, Me.",Site Nevin Shell Heap .,Name Broken bone pike head.,"Situation Trench 10.1, Section 2311'. In black bums and

_‘L1,'I A-"
1174,I Cat. No. 237},Me.152/1,"l Locality Bluehill Falls, Le.",Site Nevin Shell Heap .,Name Perforated butt of ha:,Sim?m Trench 10.11 Section 2E.. In S.E. corner 41cm.
1175,| Cat. No. 2372,Me.152/1,"Locality Bluehill Falls, Lie.",Site Nevin Shell Heap.,Name Piece of sawed bone.,"Situation Trench IC.1, Section _2E. A46cm._be_19w pop in"
